Code,Name,Group,MainGroupCode,MainGroupDescriptionSe,MainGroupDescriptionEn,GroupCode,GroupCodeDescriptionSe,GroupCodeDescriptionEn,CountyCode,CountyName,HealthcareRegionName,Ald0_5,Ald6_9,Ald10_15,Ald16_19,Ald20_24,Ald25_29,Ald30_34,Ald35_39,Ald40_44,Ald45_49,Ald50_54,Ald55_59,Ald60_64,Ald65_69,Ald70_74,Ald75_79,Ald80_w,Pop_sum,lat,long,Age_gp1,Age_gp2,Age_gp3
1860,Laxå,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,18,Örebro län,Region Örebro län,303,245,340,256,264,262,267,259,254,353,447,375,393,442,436,298,443,5637,14.5475981,58.91859812,0.643072556,0.278339542,0.078587901
1814,Lekeberg,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,18,Örebro län,Region Örebro län,726,493,592,300,303,463,561,539,479,502,507,432,466,466,507,323,417,8076,14.79137047,59.17946418,0.730188212,0.218177316,0.051634473
2029,Leksand,C9,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,9,Landsbygdskommun med besöksnäring,Rural municipality with visitor industry,20,Dalarnas län,Region Dalarna,963,673,1025,673,737,790,799,754,825,947,1110,1007,1066,1173,1342,895,1072,15851,14.93456394,60.7174384,0.649990537,0.282379661,0.067629803
1441,Lerum,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,14,Västra Götalands län,Västra Götalandsregionen,3405,2635,3818,2114,1926,1851,2230,2837,3090,3305,3061,2314,2034,1831,2127,1638,1893,42109,12.32483213,57.82493906,0.773848821,0.181196419,0.04495476
761,Lessebo,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,07,Kronobergs län,Region Kronoberg,696,468,730,454,403,471,466,485,513,537,534,517,490,539,592,362,510,8767,15.31817584,56.77520454,0.715638189,0.226189118,0.058172693
186,Lidingö,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,01,Stockholms län,Region Stockholm,3263,2688,4195,2396,2331,2552,2413,2875,3300,3586,3272,2775,2409,2339,2640,1909,2818,47761,18.180184,59.36528246,0.746341157,0.194656728,0.059002115
1494,Lidköping,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,14,Västra Götalands län,Västra Götalandsregionen,2585,1855,2777,1677,2158,2642,2307,2218,2258,2552,2731,2560,2432,2396,2494,1816,2401,39859,13.02656275,58.55938266,0.710504528,0.229258135,0.060237337
1462,Lilla Edet,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,14,Västra Götalands län,Västra Götalandsregionen,1103,700,916,572,726,936,954,895,811,863,998,925,881,820,799,522,604,14025,12.1407963,58.13361488,0.741461676,0.215472371,0.043065954
1885,Lindesberg,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,18,Örebro län,Region Örebro län,1575,1097,1600,1066,1234,1342,1286,1259,1337,1442,1558,1511,1480,1552,1667,1136,1409,23551,15.33148772,59.649274,0.692412212,0.24776018,0.059827608
580,Linköping,B3,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,3,Större stad,Medium-sized town,05,Östergötlands län,Region Östergötland,11266,7704,10858,7055,14534,14268,11296,10042,9890,9800,9976,8462,7746,7374,7287,5432,7882,160872,15.59877863,58.37151931,0.777953901,0.173050624,0.048995475
